Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
1561;2020-09-30T19:35:24.580+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";775;yes;"Browsers";"Default zone";""
1572;2020-09-30T19:35:24.591+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";792;yes;"Searchers";"Default zone";""
4855;2020-09-30T19:35:27.874+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";329;yes;"Browsers";"Default zone";""
7723;2020-09-30T19:35:30.742+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";638;yes;"Searchers";"Default zone";""
7865;2020-09-30T19:35:30.884+02:00;"BrowseForAnimals";0-12;"Try";"Tr003_Browse";91;no;"Browsers";"Default zone";"Snakes;500"
8461;2020-09-30T19:35:31.480+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";543;yes;"Browsers";"Default zone";""
11156;2020-09-30T19:35:34.175+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";637;yes;"Searchers";"Default zone";""
11624;2020-09-30T19:35:34.643+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";544;yes;"Browsers";"Default zone";""
12179;2020-09-30T19:35:35.198+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";157;yes;"Searchers";"Default zone";"Gorilla;200"
13055;2020-09-30T19:35:36.074+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";844;yes;"Searchers";"Default zone";""
14554;2020-09-30T19:35:37.573+02:00;"BrowseForAnimals";0-12;"Try";"Tr003_Browse";83;yes;"Browsers";"Default zone";"Cats;200"
15657;2020-09-30T19:35:38.676+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";307;yes;"Searchers";"Default zone";""
16587;2020-09-30T19:35:39.606+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";504;yes;"Searchers";"Default zone";""
17966;2020-09-30T19:35:40.985+02:00;"BrowseForAnimals";0-12;"Try";"Tr004_SelectProductID";148;yes;"Browsers";"Default zone";"FL-DLH-02;200"
19081;2020-09-30T19:35:42.100+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";176;yes;"Searchers";"Default zone";"Cats;200"
20201;2020-09-30T19:35:43.220+02:00;"SearchAnimal";0-1;"Try";"Tr003_Search";177;yes;"Searchers";"Default zone";"Monkey;200"
20858;2020-09-30T19:35:43.877+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";616;yes;"Searchers";"Default zone";""
21112;2020-09-30T19:35:44.131+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";591;yes;"Searchers";"Default zone";""
21135;2020-09-30T19:35:44.154+02:00;"BrowseForAnimals";0-12;"Try";"Tr005_ViewAnimal";152;yes;"Browsers";"Default zone";"EST-17;200"
21151;2020-09-30T19:35:44.170+02:00;"BrowseForAnimals";0-13;"Try";"Tr001_HomePage";590;yes;"Browsers";"Default zone";""
24343;2020-09-30T19:35:47.362+02:00;"SearchAnimal";0-0;"Try";"Tr004_SelectAnimal";360;yes;"Searchers";"Default zone";"FL-DLH-02;200"
25029;2020-09-30T19:35:48.048+02:00;"BrowseForAnimals";0-13;"Try";"Tr002_EnterStore";286;yes;"Browsers";"Default zone";""
26067;2020-09-30T19:35:49.086+02:00;"SearchAnimal";0-2;"Try";"Tr002_EnterStore";308;yes;"Searchers";"Default zone";""
27053;2020-09-30T19:35:50.072+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";1013;yes;"Searchers";"Default zone";""
27267;2020-09-30T19:35:50.286+02:00;"BrowseForAnimals";0-12;"Try";"Tr006_BackHome";511;yes;"Browsers";"Default zone";""
29327;2020-09-30T19:35:52.346+02:00;"BrowseForAnimals";0-13;"Try";"Tr003_Browse";64;yes;"Browsers";"Default zone";"Fish;200"
